1.000000000000000021e-03,1.000000000000000000e+02,1.043916866183280945e-01,1.196291297674179077e-02,8.633597753942012787e-03
5.000000000000000104e-03,1.000000000000000000e+02,4.322572946548461914e-01,4.562558606266975403e-02,2.981472574174404144e-02
1.000000000000000021e-02,1.000000000000000000e+02,6.951206922531127930e-01,6.862339377403259277e-02,3.893708810210227966e-02
5.000000000000000278e-02,1.000000000000000000e+02,1.089969277381896973e+00,1.124330610036849976e-01,1.840037293732166290e-02
1.000000000000000056e-01,1.000000000000000000e+02,1.096431732177734375e+00,1.250054985284805298e-01,5.845011677592992783e-03
5.000000000000000000e-01,1.000000000000000000e+02,1.096460819244384766e+00,1.294390261173248291e-01,1.411496312357485294e-03
1.000000000000000000e+00,1.000000000000000000e+02,1.096460938453674316e+00,1.294390857219696045e-01,1.411463133990764618e-03
5.000000000000000000e+00,1.000000000000000000e+02,nan,nan,nan
1.000000000000000000e+01,1.000000000000000000e+02,nan,nan,nan
2.999999999999999889e-01,1.000000000000000000e+02,1.096460700035095215e+00,1.294220685958862305e-01,1.428453018888831139e-03
